cycle,Horizontal_acceleration,Vertical_acceleration,id,label
1,1.285,0.371,1,0
2,1.004,0.16,1,0
3,0.596,0.506,1,0
4,1.52,0.393,1,0
5,2.243,0.314,1,0
6,0.043,0.564,1,0
7,0.09,0.525,1,0
8,0.253,0.994,1,0
9,0.62,0.317,1,0
10,0.76,0.19,1,0
11,1.299,0.015,1,0
12,1.894,0.01,1,0
13,0.061,0.068,1,0
14,0.409,0.156,1,0
15,1.057,1.255,1,0
16,0.907,1.113,1,0
17,0.278,0.323,1,0
18,0.246,0.127,1,0
19,0.215,0.22,1,0
20,1.277,1.286,1,0
21,1.06,1.61,1,0
22,0.724,0.332,1,0
23,0.49,0.534,1,0
24,1.396,0.262,1,0
25,0.319,1.104,1,0
26,0.327,0.038,1,0
27,0.691,0.737,1,0
28,0.543,0.447,1,0
29,1.137,0.772,1,0
30,1.23,0.008,1,0
31,0.749,0.522,1,0
32,1.231,0.944,1,0
33,0.288,0.281,1,0
34,0.809,0.182,1,0
35,0.49,0.026,1,0
36,0.604,0.716,1,0
37,0.116,0.737,1,0
38,2.289,0.455,1,0
39,1.218,0.237,1,0
40,1.647,0.632,1,0
41,0.127,0.599,1,0
42,1.467,0.388,1,0
43,1.565,0.21,1,0
44,0.147,0.053,1,0
45,1.401,0.421,1,0
46,0.593,0.087,1,0
47,1.782,0.16,1,0
48,2.234,0.384,1,0
49,1.942,0.787,1,0
50,0.69,0.017,1,0
51,0.117,0.522,1,0
52,1.845,0.338,1,0
53,0.662,0.144,1,0
54,5.348,0.132,1,0
55,3.152,1.421,1,0
56,1.02,0.029,1,0
57,2.216,0.164,1,0
58,0.995,0.354,1,0
59,0.308,1.256,1,0
60,0.185,1.094,1,0
61,1.347,0.242,1,0
62,1.292,0.289,1,0
63,0.03,0.608,1,0
64,1.083,0.355,1,0
65,1.155,0.625,1,0
66,0.328,0.366,1,0
67,0.447,0.453,1,0
68,0.419,0.559,1,0
69,0.954,0.052,1,0
70,1.09,0.519,1,0
71,0.457,0.415,1,0
72,1.348,0.009,1,0
73,2.037,0.34,1,0
74,1.891,0.133,1,0
75,0.047,0.252,1,0
76,0.031,0.734,1,0
77,0.259,0.05,1,0
78,0.836,0.201,1,0
79,0.76,0.421,1,0
80,0.685,0.661,1,0
81,0.379,0.519,1,0
82,2.869,0.562,1,0
83,0.412,0.805,1,0
84,0.668,0.345,1,0
85,1.225,0.075,1,0
86,0.239,0.682,1,0
87,0.198,0.56,1,0
88,0.56,0.502,1,0
89,0.256,0.394,1,0
90,0.334,0.624,1,0
91,0.385,1.11,1,0
92,0.741,0.603,1,0
93,0.034,0.116,1,0
94,1.492,0.324,1,0
95,0.145,0.298,1,0
96,1.333,0.916,1,0
97,0.411,0.182,1,0
98,1.075,0.663,1,0
99,2.929,0.325,1,0
100,1.159,0.199,1,0
101,2.19,1.007,1,0
102,0.77,0.003,1,0
103,0.537,0.242,1,0
104,0.124,0.061,1,0
105,0.283,0.128,1,0
106,0.041,0.506,1,0
107,1.012,0.012,1,0
108,0.214,0.705,1,0
109,0.472,1.261,1,0
110,1.226,0.577,1,0
111,0.58,0.11,1,0
112,1.751,0.298,1,0
113,0.119,0.304,1,0
114,0.337,0.174,1,0
115,0.599,0.041,1,0
116,1.43,0.799,1,0
117,2.446,1.432,1,0
118,1.966,0.655,1,0
119,2.053,1.118,1,0
120,0.464,0.609,1,0
121,0.07,0.087,1,0
122,0.905,0.525,1,0
123,1.275,0.16,1,0
124,0.222,0.344,1,0
125,2.121,0.209,1,0
126,0.821,0.122,1,0
127,0.102,0.407,1,0
128,3.077,0.276,1,0
129,0.112,0.282,1,0
130,0.253,0.788,1,0
131,2.095,0.04,1,0
132,0.957,0.334,1,0
133,0.511,0.36,1,0
134,0.356,0.046,1,0
135,0.866,0.266,1,0
136,0.641,0.515,1,0
137,1.019,0.09,1,0
138,0.218,0.286,1,0
139,1.115,0.297,1,0
140,0.533,0.892,1,0
141,0.659,0.168,1,0
142,1.119,0.734,1,0
143,0.599,0.237,1,0
144,0.449,0.227,1,0
145,0.501,0.441,1,0
146,0.347,0.218,1,0
147,1.673,0.173,1,0
148,1.233,0.015,1,0
149,0.755,0.708,1,0
150,1.416,0.481,1,0
151,1.16,0.703,1,0
152,3.037,1.556,1,0
153,0.79,0.324,1,0
154,3.51,0.479,1,0
155,1.004,1.162,1,0
156,0.596,0.421,1,0
157,0.242,0.423,1,0
158,0.501,0.659,1,0
159,0.633,0.543,1,0
160,0.135,0.642,1,0
161,0.387,0.146,1,0
162,0.835,0.158,1,0
163,1.142,0.704,1,0
164,1.438,1.007,1,0
165,0.046,0.212,1,0
166,0.037,0.145,1,0
167,0.247,0.136,1,0
168,1.71,0.666,1,0
169,3.097,0.796,1,0
170,5.608,1.203,1,0
171,4.723,0.748,1,0
172,4.674,1.167,1,0
173,4.165,0.417,1,0
174,0.853,0.097,1,0
175,1.471,1.329,1,0
176,1.52,0.182,1,0
177,2.619,0.42,1,0
178,0.221,0.15,1,0
179,0.971,0.172,1,0
180,0.507,0.296,1,0
181,1.002,0.904,1,0
182,2.06,0.186,1,0
183,1.145,0.356,1,0
184,0.999,0.096,1,0
185,0.552,0.205,1,0
186,0.096,0.031,1,0
187,0.315,0.243,1,0
188,0.187,0.023,1,0
189,0.238,0.127,1,0
190,0.48,0.312,1,0
191,2.036,0.151,1,0
192,0.538,0.397,1,0
193,0.068,0.219,1,0
194,0.189,0.697,1,0
195,1.11,0.096,1,0
196,1.181,0.354,1,0
197,0.785,0.646,1,0
198,0.149,0.057,1,0
199,1.517,0.343,1,0
200,0.198,0.041,1,0
201,1.042,0.273,1,0
202,1.322,0.379,1,0
203,0.854,0.519,1,0
204,0.634,0.911,1,0
205,2.825,0.942,1,0
206,2.728,0.15,1,0
207,0.216,0.885,1,0
208,0.943,0.397,1,0
209,0.096,0.911,1,0
210,1.66,0.204,1,0
211,2.872,0.214,1,0
212,1.176,0.428,1,0
213,0.171,1.06,1,0
214,0.104,0.453,1,0
215,0.243,0.093,1,0
216,0.753,0.308,1,0
217,1.24,0.191,1,0
218,1.76,0.21,1,0
219,0.782,0.095,1,0
220,0.512,1.102,1,0
221,2.087,0.08,1,0
222,1.906,0.356,1,0
223,0.587,0.105,1,0
224,1.035,0.067,1,0
225,0.177,0.027,1,0
226,1.41,0.76,1,0
227,0.961,0.823,1,0
228,0.452,0.242,1,0
229,0.288,0.071,1,0
230,0.645,0.363,1,0
231,1.419,0.39,1,0
232,0.104,0.228,1,0
233,1.154,1.07,1,0
234,0.105,0.554,1,0
235,0.864,0.504,1,0
236,0.077,0.349,1,0
237,0.945,0.247,1,0
238,0.468,1.647,1,0
239,0.42,0.252,1,0
240,0.21,0.379,1,0
241,0.257,0.488,1,0
242,0.129,0.61,1,0
243,1.171,0.127,1,0
244,1.004,0.172,1,0
245,0.318,0.493,1,0
246,1.907,0.316,1,0
247,1.998,0.605,1,0
248,0.457,0.505,1,0
249,0.96,0.085,1,0
250,0.617,0.402,1,0
251,0.541,0.062,1,0
252,0.838,0.247,1,0
253,0.387,0.148,1,0
254,1.091,0.027,1,0
255,0.572,1.038,1,0
256,1.322,0.902,1,0
257,2.947,0.033,1,0
258,0.856,2.233,1,0
259,0.731,0.639,1,0
260,0.783,0.193,1,0
261,1.335,1.544,1,0
262,3.064,0.216,1,0
263,1.643,0.39,1,0
264,2.138,0.373,1,0
265,0.289,0.051,1,0
266,1.967,0.154,1,0
267,1.956,0.152,1,0
268,6.562,0.831,1,0
269,1.006,0.161,1,0
270,1.286,0.634,1,0
271,0.62,0.658,1,0
272,1.683,0.712,1,0
273,1.711,0.738,1,0
274,0.649,0.276,1,0
275,0.484,0.272,1,0
276,0.542,1.088,1,0
277,0.273,0.217,1,0
278,0.193,0.362,1,0
279,0.485,0.179,1,0
280,0.727,0.856,1,0
281,0.855,0.147,1,0
282,0.544,0.721,1,0
283,0.607,0.511,1,0
284,0.241,0.851,1,0
285,0.219,0.071,1,0
286,0.34,0.128,1,0
287,0.182,0.174,1,0
288,0.92,1.022,1,0
289,0.223,0.166,1,0
290,0.117,0.259,1,0
291,2.227,1.202,1,0
292,1.554,0.259,1,0
293,2.541,0.668,1,0
294,0.33,0.4,1,0
295,1.329,0.002,1,0
296,1.148,0.722,1,0
297,0.235,0.726,1,0
